iter,acc,nmi,ari,L,Lc,Lr
13580,0.5152,0.59172,0.41396,0.01498,0.03391,0.01158
13720,0.5154,0.59168,0.41375,0.01557,0.03291,0.01228
13860,0.51317,0.59158,0.41375,0.01916,0.05474,0.01368
14000,0.51246,0.59233,0.4138,0.01727,0.03968,0.0133
14140,0.51316,0.59141,0.41314,0.01487,0.02707,0.01216
14280,0.51346,0.59114,0.41297,0.01504,0.02563,0.01247
14420,0.51339,0.59171,0.41396,0.01506,0.0285,0.01221
14560,0.51329,0.5914,0.41395,0.01811,0.05335,0.01278
14700,0.5143,0.59183,0.41457,0.01542,0.02683,0.01274
14840,0.5144,0.59113,0.41433,0.01574,0.03598,0.01214
14980,0.51514,0.59066,0.41488,0.01554,0.02927,0.01262
15120,0.5156,0.5917,0.41532,0.01508,0.0252,0.01256
15260,0.51547,0.59162,0.41555,0.01619,0.03779,0.01241
15400,0.51553,0.59247,0.41545,0.01788,0.05792,0.01208
15540,0.51611,0.59194,0.41525,0.01557,0.02731,0.01284
15680,0.5158,0.59214,0.41511,0.01759,0.04733,0.01286
15820,0.51593,0.59221,0.41478,0.01536,0.0393,0.01143
15960,0.51476,0.59128,0.41366,0.01536,0.02261,0.0131
16100,0.51436,0.59098,0.41341,0.01628,0.04142,0.01214
16240,0.51573,0.59047,0.41353,0.01616,0.04106,0.01206
16380,0.51617,0.59067,0.41354,0.01509,0.03102,0.01199
16520,0.51663,0.59037,0.41378,0.01573,0.03461,0.01227
16660,0.51726,0.59038,0.41366,0.01499,0.02922,0.01206
16800,0.51671,0.59021,0.41341,0.0153,0.03095,0.01221
16940,0.51681,0.59072,0.41378,0.01552,0.03529,0.01199
17080,0.51691,0.59116,0.4137,0.01613,0.03683,0.01245
17220,0.51706,0.59094,0.41317,0.01405,0.02148,0.0119
17360,0.5172,0.59083,0.41297,0.01498,0.02677,0.0123
17500,0.51679,0.59073,0.41313,0.0146,0.02691,0.01191
17640,0.51829,0.59115,0.41354,0.01536,0.02575,0.01279
17780,0.518,0.5911,0.41365,0.01842,0.06273,0.01214
17920,0.51967,0.59119,0.41374,0.01523,0.02827,0.01241
18060,0.51954,0.5905,0.41386,0.01607,0.02756,0.01332
18200,0.51994,0.58939,0.41355,0.0151,0.02826,0.01228
18340,0.5191,0.58856,0.41314,0.01678,0.04255,0.01252
18480,0.51797,0.59007,0.41321,0.01572,0.03819,0.0119
18620,0.51854,0.58963,0.4131,0.01494,0.02548,0.01239
18760,0.51837,0.58981,0.41316,0.01646,0.03848,0.01261
18900,0.51814,0.58988,0.41309,0.01413,0.02391,0.01174
19040,0.51829,0.58948,0.41292,0.01479,0.02447,0.01235
19180,0.51816,0.5895,0.41295,0.0156,0.02365,0.01324
19320,0.51791,0.58788,0.41211,0.01692,0.04686,0.01223
19460,0.51771,0.58703,0.41136,0.01387,0.02449,0.01142
19600,0.51863,0.58768,0.41205,0.01439,0.02705,0.01169
19740,0.51781,0.5878,0.41133,0.01434,0.02959,0.01138
19880,0.51733,0.58789,0.41085,0.01373,0.02097,0.01163
